dv,dv_label,quarter,coef,se,p_value,sig,r2,N
log_surprise,Log Surprise,2021Q1,-0.10112780826281949,0.23302454236602907,0.5926495468736812,,0.07044548593303201,67008
log_surprise,Log Surprise,2021Q2,-0.04436079397150548,0.2343462538113639,0.8031887814290577,,0.07044548593303201,67008
log_surprise,Log Surprise,2021Q3,0.013937882622652331,0.22721038184330622,0.9326209462898607,,0.07044548593303201,67008
log_surprise,Log Surprise,2021Q4,-0.013952757921937953,0.23000395213736316,0.9333485303623728,,0.07044548593303201,67008
log_surprise,Log Surprise,2022Q1,-0.1440993400951558,0.2331933218784025,0.4625707169429878,,0.07044548593303201,67008
log_surprise,Log Surprise,2022Q2,-0.1015423578257828,0.22514846010185288,0.5796477273498963,,0.07044548593303201,67008
log_surprise,Log Surprise,2022Q3,0.14913901027836166,0.2282619859968535,0.44006795898194717,,0.07044548593303201,67008
log_surprise,Log Surprise,2022Q4,-0.035567545302488957,0.22747145700887855,0.8351404048840707,,0.07044548593303201,67008
log_surprise,Log Surprise,2023Q1,0.06371495113153924,0.2300964138506507,0.7225275634218622,,0.07044548593303201,67008
log_surprise,Log Surprise,2023Q2,-0.3374062450020715,0.2256246574447143,0.10536478292747842,,0.07044548593303201,67008
log_surprise,Log Surprise,2023Q3,-0.02817119115154508,0.22538795664822953,0.8664367264859452,,0.07044548593303201,67008
log_surprise,Log Surprise,2023Q4,0.09852188555691205,0.23189240951094273,0.5996983609510804,,0.07044548593303201,67008
log_surprise,Log Surprise,2024Q1,0.11511822144307632,0.23475026755997203,0.5503378586102083,,0.07044548593303201,67008
log_surprise,Log Surprise,2024Q2,-0.0404508836487473,0.23558061639628883,0.8201382490043685,,0.07044548593303201,67008
log_surprise,Log Surprise,2024Q4,-0.03465031027240465,0.23980559909541588,0.8468791309443828,,0.07044548593303201,67008
log_surprise,Log Surprise,2025Q1,-0.042495408673702335,0.25077894996359096,0.822328666760705,,0.07044548593303201,67008
log_surprise,Log Surprise,2025Q2,0.000979651636398432,0.24600044567117263,0.9955143267854436,,0.07044548593303201,67008
log_surprise,Log Surprise,2025Q3,-0.023409270078715183,0.2465576595595069,0.8972225767398947,,0.07044548593303201,67008
