DV,y_col,unit,beta1,se,t_stat,p_value,sig,r2,N
Log Surprise,log_surprise,log(KL + 1e-6),0.08685329252814324,0.10516156366487753,0.8259033957018937,0.3414899808251586,,0.06309654172140777,35080
Distinct Fields,n_distinct_fields_cited,count,0.8213749995045655,0.3365486391300065,2.4405833332972526,0.010957713491386523,**,0.1301706874479165,35080
Within-Field Share,within_field_share,proportion,-0.07770165968671551,0.042115816609299,-1.8449519905440774,0.049780803832571774,**,0.12243752449269774,35080
Citation HHI,citation_hhi,concentration,-0.08519107439424704,0.032246963770989366,-2.6418324217825515,0.006126838945765822,***,0.14049244402914007,35080
Reference Count,n_references,count,7.310735879957745,4.3373072487004265,1.6855471518989662,0.07094173343505972,*,0.09780386355223014,35080
Shannon Entropy,surprise_entropy,nats,0.17000504819268494,0.06788207744290806,2.5044172865167096,0.009148024046826908,***,0.1425879013767588,35080
Other-Field Share,other_field_share,proportion,0.0777016596867073,0.04211581660929915,1.8449519905438756,0.049780803832594867,**,0.12243752449269818,35080
