model,dv,variable,coefficient,std_error,t_stat,p_value
(12) Shannon Entropy,surprise_entropy,institutions_distinct_count,-0.0003516866764869675,5.087939265196931e-05,-6.912163415404986,3.4714453533979395e-12
(12) Shannon Entropy,surprise_entropy,countries_distinct_count,0.01322427159047318,0.0018980695184785067,6.967221938780073,2.3514523661560816e-12
(13) Shannon Entropy+T,surprise_entropy,treatment,0.0011644877738978562,0.09615419837147778,0.012110628486538122,0.9864075494952664
(13) Shannon Entropy+T,surprise_entropy,treatment_x_trend,0.02988587731665872,0.01109819063033811,2.6928603330134213,0.005256825484240224
(13) Shannon Entropy+T,surprise_entropy,num_authors,0.0006337337128082543,0.00033854727582972226,1.8719208750242633,0.04678789393515426
(13) Shannon Entropy+T,surprise_entropy,institutions_distinct_count,-0.0003514658148011107,5.0729023430704e-05,-6.9282984578091495,3.097966327914037e-12
(13) Shannon Entropy+T,surprise_entropy,countries_distinct_count,0.013223067539584688,0.0018981512110183198,6.966287755594971,2.3672175331057588e-12
(14) Other-Field Share,other_field_share,treatment,0.0424074282280422,0.016583469176891553,2.5572109053716803,0.007857917265714942
(14) Other-Field Share,other_field_share,num_authors,0.0013359154009012775,0.00012490843409230986,10.69515770179305,0.0
(14) Other-Field Share,other_field_share,institutions_distinct_count,-8.737267126869216e-05,1.4575211120217247e-05,-5.994607594225355,1.478673627985927e-09
(14) Other-Field Share,other_field_share,countries_distinct_count,0.0004688920129094984,0.000563983030507835,0.8313938319869084,0.33864218166033533
(15) Other-Field Share+T,other_field_share,treatment,0.044876516597247916,0.028740463702013015,1.5614402419716253,0.09214380679265965
(15) Other-Field Share+T,other_field_share,treatment_x_trend,-0.0003559306658444221,0.003390808042211266,-0.10496927617651487,0.8868609412773809
(15) Other-Field Share+T,other_field_share,num_authors,0.001335884471644063,0.00012491137910805692,10.694657934153712,0.0
(15) Other-Field Share+T,other_field_share,institutions_distinct_count,-8.737530165652159e-05,1.4576170620506385e-05,-5.994393447453081,1.480622291438749e-09
(15) Other-Field Share+T,other_field_share,countries_distinct_count,0.00046890635274941805,0.0005639847384929243,0.8314167401097166,0.33863033579558
