era,llm_flag,n_papers,mean_marker_rate,mean_surprise,mean_authors
Post-4o,Non-flagged,10110,0.0477824762501802,0.6868702100656455,4.384272997032641
Post-4o,LLM-flagged,7650,0.11364355105001109,0.7390702887414383,4.26797385620915
Post-ChatGPT,Non-flagged,15746,0.045417504662389016,0.6986339936565473,4.253524704686905
Post-ChatGPT,LLM-flagged,6150,0.11255839686535785,0.7352075879253568,4.07609756097561
Pre-ChatGPT,Non-flagged,31631,0.04345338708460696,0.673466464350681,4.188549208055389
Pre-ChatGPT,LLM-flagged,5501,0.10008838512661009,0.694793461035931,3.999091074350118
