paper_id,publication_date,year_month,field,subfield,num_authors,institutions_distinct_count,countries_distinct_count,type,language,n_references,n_references_resolved,n_distinct_fields_cited,within_field_share,citation_hhi,other_field_share,surprise_kl,surprise_entropy
https://openalex.org/W3154296962,2021-02-27,2021-02,Arts and Humanities,Language and Linguistics,3,3,1,article,en,11,10,2,0.0,0.82,0.1,3.350692,0.325086
https://openalex.org/W3126207107,2021-02-04,2021-02,Arts and Humanities,Language and Linguistics,1,1,1,article,en,53,53,6,0.132075,0.269491,0.0,1.307729,1.484078
https://openalex.org/W3126275021,2021-02-02,2021-02,Arts and Humanities,Religious studies,1,1,1,article,en,5,5,2,0.8,0.68,0.0,0.383345,0.500405
https://openalex.org/W3128154992,2021-02-01,2021-02,Arts and Humanities,History,1,1,0,article,en,89,83,5,0.53012,0.459718,0.012048,0.249287,0.896821
https://openalex.org/W3129776954,2021-02-08,2021-02,Arts and Humanities,Language and Linguistics,1,1,0,article,en,20,14,4,0.285714,0.357143,0.0,0.433132,1.171
https://openalex.org/W3202115534,2021-02-06,2021-02,Arts and Humanities,Conservation,2,2,1,article,en,9,6,3,0.666667,0.5,0.0,1.122177,0.867566
https://openalex.org/W3132055906,2021-02-16,2021-02,Arts and Humanities,Language and Linguistics,1,1,1,article,en,18,17,2,0.764706,0.640138,0.0,0.361862,0.545597
https://openalex.org/W4293359916,2021-02-28,2021-02,Arts and Humanities,Literature and Literary Theory,1,1,1,article,en,6,5,1,1.0,1.0,0.0,0.749392,3e-06
https://openalex.org/W3134700896,2021-02-26,2021-02,Arts and Humanities,Literature and Literary Theory,1,1,1,article,en,23,21,6,0.333333,0.229025,0.190476,0.421244,1.591688
https://openalex.org/W3132072674,2021-02-12,2021-02,Arts and Humanities,Religious studies,1,1,1,article,en,7,6,1,0.0,1.0,0.0,1.421165,3e-06
https://openalex.org/W3137544298,2021-02-26,2021-02,Arts and Humanities,Philosophy,1,1,1,article,en,46,39,7,0.333333,0.226824,0.205128,0.57473,1.633092
https://openalex.org/W3129501985,2021-02-01,2021-02,Arts and Humanities,Archeology,4,4,1,article,en,4,4,4,0.25,0.25,0.0,2.583262,1.386297
https://openalex.org/W3134026679,2021-02-01,2021-02,Arts and Humanities,Archeology,5,5,1,article,en,3,3,2,0.666667,0.555556,0.0,0.971398,0.636517
https://openalex.org/W3131234841,2021-02-19,2021-02,Arts and Humanities,Archeology,2,2,0,article,en,41,40,5,0.5,0.36375,0.025,0.496487,1.17678
https://openalex.org/W3137223449,2021-02-28,2021-02,Arts and Humanities,Philosophy,1,1,0,article,en,57,56,9,0.571429,0.366071,0.035714,0.150713,1.444255
https://openalex.org/W3132515406,2021-02-19,2021-02,Arts and Humanities,Language and Linguistics,2,2,1,article,en,34,31,3,0.83871,0.721124,0.0,0.541767,0.522516
https://openalex.org/W3127918999,2021-02-02,2021-02,Arts and Humanities,History,1,1,2,article,en,21,21,3,0.714286,0.555556,0.0,0.493184,0.780133
https://openalex.org/W3130122428,2021-02-17,2021-02,Arts and Humanities,Literature and Literary Theory,1,1,0,article,en,27,24,4,0.583333,0.40625,0.0,0.285026,1.108218
https://openalex.org/W3130244803,2021-02-03,2021-02,Arts and Humanities,Language and Linguistics,1,1,0,article,en,7,7,2,0.714286,0.591837,0.0,0.664405,0.598272
https://openalex.org/W3198390391,2021-02-07,2021-02,Arts and Humanities,Visual Arts and Performing Arts,1,1,2,article,en,7,3,2,0.666667,0.555556,0.0,0.336803,0.636517
https://openalex.org/W3128019599,2021-02-09,2021-02,Arts and Humanities,Literature and Literary Theory,3,3,1,article,en,6,4,3,0.5,0.375,0.0,0.630743,1.039723
https://openalex.org/W3130027670,2021-02-01,2021-02,Arts and Humanities,Literature and Literary Theory,2,2,1,article,en,5,5,2,0.4,0.52,0.0,0.479445,0.673014
https://openalex.org/W3128357376,2021-02-01,2021-02,Arts and Humanities,Archeology,4,4,1,article,en,54,49,6,0.183673,0.309454,0.44898,1.441485,1.363355
https://openalex.org/W2849131947,2021-02-11,2021-02,Arts and Humanities,Philosophy,1,1,1,article,en,40,33,7,0.333333,0.210285,0.0,0.850029,1.701934
